MP db name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Notes (State's Averages)
Jayant Chaudhary,Elected,18-May-09,In office,Uttar Pradesh,Mathura,Rashtriya Lok Dal,Male,Post Graduate,"M.Sc., Accounts and Finance; Educated at Landon School of Economics and Political Science",31,11,0,30,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Jayaram Pangi,Elected,18-May-09,In office,Orissa,Koraput,Biju Janata Dal,Male,Inter/ Higher Secondary,"Educated at Govt. TRW High School, Sunabeda - 1, Orissa; Hal, Sunabeda",54,3,0,86,83%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Jayshreeben Kanubhai Patel,Elected,18-May-09,In office,Gujarat,Mehesana,Bharatiya Janata Party,Female,Matric,,51,24,0,87,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Jeetendra Singh Bundela,Elected,18-May-09,In office,Madhya Pradesh,Khajuraho,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B; Maharaja Mahavidyalya Chhattarpur, Madhya Pradesh and Motilal Vidhi Mahavidyalaya Chattarpur, Madhya Pradesh",51,2,0,2,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Jhansi Botcha Lakshmi,Elected,18-May-09,In office,Andhra Pradesh,Vizianagaram,Indian National Congress,Female,Doctorate,"M.A. (Philosophy), Ph.D.",46,32,0,144,89%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Jitender Singh Malik,Elected,18-May-09,In office,Haryana,Sonipat,Indian National Congress,Male,Graduate,"B.A., LL.B.",40,0,0,0,74%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,33,73%,
Jitendra Singh,Elected,18-May-09,In office,Rajasthan,Alwar,Indian National Congress,Male,Graduate,"B.Com; Educated at Delhi University & Wynberg Allan, Mussoorie",39,2,0,0,73%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Jitin Prasada,Elected,18-May-09,In office,Uttar Pradesh,Dhaurahra,Indian National Congress,Male,Post Graduate,"M.B.A.; Educated at Sri Ram College of Commerce, Delhi and IMI, Delhi",36,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jose K. Mani,Elected,18-May-09,In office,Kerala,Kottayam,Kerala Congress (M),Male,Post Graduate,"B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore",45,17,0,125,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
Joseph Toppo,Elected,18-May-09,In office,Assam,Tezpur,Asom Gana Parishad,Male,Inter/ Higher Secondary,"H.S.L.C., Diploma in Automobile Engineering; Educated at Don Bosco Technical School Maligaon, Guwahati",56,3,0,44,69%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Jyoti Dhurve,Elected,18-May-09,In office,Madhya Pradesh,Betul,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh",44,5,0,17,80%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Jyoti Mirdha,Elected,18-May-09,In office,Rajasthan,Nagaur,Indian National Congress,Female,Graduate,"M.B.B.S.; Educated at SMS Medical College, Jaipur (Rajasthan) ",38,6,0,2,91%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Jyotiraditya Madhavrao Scindia,Elected,18-May-09,In office,Madhya Pradesh,Guna,Indian National Congress,Male,Post Graduate,"M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA) ",39,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
K. C. Venugopal,Elected,18-May-09,In office,Kerala,Alappuzha,Indian National Congress,Male,Post Graduate,M.Sc. (Mathematics); Educated at Calicut University,47,27,0,157,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
K. D. Deshmukh,Elected,18-May-09,In office,Madhya Pradesh,Balaghat,Bharatiya Janata Party,Male,Graduate,"B.Sc., LL.B.; Educated at Govt. J.S.T. College, Balaghat",61,4,0,62,48%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
K. Jayasurya Prakash Reddy,Elected,18-May-09,In office,Andhra Pradesh,Kurnool,Indian National Congress,Male,Graduate,"B.A.; Educated at Nizam College, Hyderabad, Andhra Pradesh",58,0,0,177,64%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
K. Murugesan Anandan,Elected,18-May-09,In office,Tamil Nadu,Viluppuram,All India Anna Dravida Munnetra Kazhagam,Male,Under Graduate,"P.U.C.; Attended B.Sc course for three years; Educated at Govt. Arts College, Cuddalore, Tamil Nadu in the year 1971-74",58,3,0,59,77%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
K. P. Dhanapalan,Elected,18-May-09,In office,Kerala,Chalakudy,Indian National Congress,Male,Graduate,"B.Sc. (Chemistry); Educated at U.C. College, Aluva",60,10,0,63,100%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
K. Sugumar,Elected,18-May-09,In office,Tamil Nadu,Pollachi,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Com.; Educated at P.S.G. College of Arts & Science, Coimbatore",49,8,0,48,73%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
K.C. Singh Baba,Elected,18-May-09,In office,Uttarakhand,Nainital-Udhamsingh Nagar,Indian National Congress,Male,Inter/ Higher Secondary,"Senior Cambridge; Educated at St. Joseph`s College, Nainital, Uttarakhand",63,6,6,65,76%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.5,2.8,20,91%,
K.H. Muniyappa,Elected,18-May-09,In office,Karnataka,Kolar,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Bangalore University (Karnataka) ",62,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
K.V. Thomas,Elected,18-May-09,In office,Kerala,Ernakulam,Indian National Congress,Male,Post Graduate,"M.Sc. (Chemistry); Educated at Scared Heart College, Cochin, Kerala",64,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kabindra Purkayastha,Elected,18-May-09,In office,Assam,Silchar,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.T.; Educated at Gauhati University, Gauhati (Assam) ",78,8,0,21,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Kabir Suman,Elected,18-May-09,In office,West Bengal,Jadavpur,All India Trinamool Congress,Male,Graduate,"B.A. (Hons.) English Literature; Educated at Jadav University, Kolkata",60,3,0,0,57%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Kadir Rana,Elected,18-May-09,In office,Uttar Pradesh,Muzaffarnagar,Bahujan Samaj Party,Male,Under Matric,,48,0,0,8,48%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Kailash Joshi,Elected,18-May-09,In office,Madhya Pradesh,Bhopal,Bharatiya Janata Party,Male,Matric,,81,0,0,18,81%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Kaisar Jahan,Elected,18-May-09,In office,Uttar Pradesh,Sitapur,Bahujan Samaj Party,Female,Under Matric,Privately Educated,36,1,0,4,56%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Kakoli Ghosh Dastidar,Elected,18-May-09,In office,West Bengal,Barasat,All India Trinamool Congress,Female,Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",50,11,0,0,69%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Kalikesh Narayan Singh Deo,Elected,18-May-09,In office,Orissa,Bolangir,Biju Janata Dal,Male,Graduate,"B.A. (Hons.) Economics; Educated at St. Stepen`s College, Delhi University",36,3,0,101,80%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Kalyan Banerjee,Elected,18-May-09,In office,West Bengal,Serampore,All India Trinamool Congress,Male,Graduate,"B.Com., LL.B; Educated at Bankura Samilani College, Bankura",53,16,0,0,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Kalyan Singh,Elected,18-May-09,In office,Uttar Pradesh,Etah,Independent,Male,Graduate,"B.A., L.T.; Educated at D.S. Degree College, Alligarh, Uttar Pradesh",78,1,0,0,47%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Kamal Kishor,Elected,18-May-09,In office,Uttar Pradesh,Bahraich,Indian National Congress,Male,Graduate,B.A.; Indian Armed Forces,53,18,0,60,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Kamal Nath,Elected,18-May-09,In office,Madhya Pradesh,Chhindwara,Indian National Congress,Male,Graduate,"B.Com.; Educated at St. Xavier's College, Calcutta, West Bengal",63,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kameshwar Baitha,Elected,18-May-09,In office,Jharkhand,Palamu,Jharkhand Mukti Morcha,Male,Matric,,54,0,0,10,2%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.6,0.3,78,59%,
Kamla Devi Patle,Elected,18-May-09,In office,Chhattisgarh,Janjgir-Champa,Bharatiya Janata Party,Female,Under Graduate,,44,3,0,4,64%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,20,64%,
Kamlesh Balmiki,Elected,18-May-09,In office,Uttar Pradesh,Bulandshahr,Samajwadi Party,Male,Under Matric,,57,0,0,4,79%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Kamlesh Paswan,Elected,18-May-09,In office,Uttar Pradesh,Bansgaon,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at St. Pauls School I.C.S.E. Board Gorakhpur and U.P. Board, Gorakhpur",34,4,0,0,79%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Kantilal Bhuria,Elected,18-May-09,In office,Madhya Pradesh,Ratlam,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Chandrashekhar Azad College, Distt. Jhabua, Madhya Pradesh",60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kapil Muni Karwariya,Elected,18-May-09,In office,Uttar Pradesh,Phulpur,Bahujan Samaj Party,Male,Graduate,"B.A., LL.B.; Educated at Allahabad University and Lucknow University",43,0,0,8,64%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Kapil Sibal,Elected,18-May-09,In office,Delhi,Chandni Chowk,Indian National Congress,Male,Post Graduate,"M.A. (History), LL. M.; Educated at St. Stephen`s College, University of Delhi, Delhi and Harward Law School, USA",61,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kariya Munda,Elected,18-May-09,In office,Jharkhand,Khunti,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at Ranchi University, Ranchi, Jharkhand",74,N/A,N/A,N/A,N/A,"As Deputy Speaker, this MP does not not sign the attendance register, ask questions, introduce private member bills, or participate in debates. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Katti Ramesh Vishwanath,Elected,18-May-09,In office,Karnataka,Chikkodi,Bharatiya Janata Party,Male,Under Graduate,PUC (Science),45,2,0,0,61%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
Kaushalendra Kumar,Elected,18-May-09,In office,Bihar,Nalanda,Janata Dal (United),Male,Inter/ Higher Secondary,"I.A.; Educated S.P.M. College, Udatpuri, Biharsharif, Nalanda, Bihar",52,32,0,115,99%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Kavuri Samba Siva Rao,Elected,18-May-09,In office,Andhra Pradesh,Eluru,Indian National Congress,Male,Graduate,"B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh",66,9,0,102,80%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Khagen Das,Elected,18-May-09,In office,Tripura,Tripura West,Communist Party of India (Marxist),Male,Post Graduate,"M.Com., B.Ed.; Educated at S.N. College and Calcutta University, Kolkatta; West Bengal",72,9,0,2,62%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6,0,1,68%,
Khatgaonkar Patil Bhaskarrao Bapurao,Elected,18-May-09,In office,Maharashtra,Nanded,Indian National Congress,Male,Graduate,"B.E. (Mech.); Educated at Osmania University, Hyderabad, Andhra Pradesh",66,1,0,203,73%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Khiladi Lal Bairwa,Elected,18-May-09,In office,Rajasthan,Karauli-Dholpur,Indian National Congress,Male,Graduate,"B.A.; Educated at Hindi Vishwavidyalaya Allahabad, Uttar Pradesh",46,4,0,39,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Killi Krupa Rani,Elected,18-May-09,In office,Andhra Pradesh,Srikakulam,Indian National Congress,Female,Graduate,"M.B.B.S.; Educated at Andhra Medical College, Visakhapatanam, Andhra Pradesh",44,1,0,14,91%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Kirit Premjibhai Solanki,Elected,18-May-09,In office,Gujarat,Ahmedabad West,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.S. and F.I.C.S.; Educated at (i) Smt. N.H.L. Municipal Medial College and K.M. School of Post Graduate Medicine and Research, Sheth V.S. General Hospital , Ahmedabad; (ii) B.J. Medical College and Civil Hospital, Ahmedabad; and (iii) Fellow of",60,22,0,44,96%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Kirodilal Meena,Elected,18-May-09,In office,Rajasthan,Dausa,Independent,Male,Graduate,"M.B.B.S.; Educated at S.P. Medical College, Bikaner, Rajasthan",58,12,0,169,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Kirti (Jha) Azad,Elected,18-May-09,In office,Bihar,Darbhanga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) History; Educated at St. Stephen's College, University of Delhi, Delhi",51,5,0,23,85%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Kishanbhai Vestabhai Patel,Elected,18-May-09,In office,Gujarat,Valsad,Indian National Congress,Male,Inter/ Higher Secondary,,46,4,0,143,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Komatireddy Raj Gopal Reddy,Elected,18-May-09,In office,Andhra Pradesh,Bhongir,Indian National Congress,Male,Graduate,B.A.; Osmania University,43,0,0,21,89%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Konakalla Narayana Rao,Elected,18-May-09,In office,Andhra Pradesh,Machilipatnam,Telugu Desam Party,Male,Inter/ Higher Secondary,,60,2,0,0,82%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Krishna Tirath,Elected,18-May-09,In office,Delhi,North West Delhi,Indian National Congress,Female,Post Graduate,"M.A., B.Ed.; Educated at University of Delhi and C.I.E., University of Delhi",55,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kristappa Nimmala,Elected,18-May-09,In office,Andhra Pradesh,Hindupur,Telugu Desam Party,Male,Graduate,"B.Com.; Educated at Osmania College, Kurnool",53,2,0,0,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Kumbakudi Sudhakaran,Elected,18-May-09,In office,Kerala,Kannur,Indian National Congress,Male,Post Graduate,"M.A. (History); Educated at Govt. Brennen College, Telecherry",62,2,0,71,71%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
Kunwarjibhai Mohanbhai Bavaliya,Elected,18-May-09,In office,Gujarat,Rajkot,Indian National Congress,Male,Graduate,"B.Sc., B.Ed.; Educated at Saurashtra University and Gujarat University, Gujarat",55,3,0,84,79%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Lakshmi Panabaka,Elected,18-May-09,In office,Andhra Pradesh,Bapatla,Indian National Congress,Female,Post Graduate,"M.A.; Educated at Andhra University, Vishakhapatnam (Andhra Pradesh) ",51,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lal Chand Kataria,Elected,18-May-09,In office,Rajasthan,Jaipur Rural,Indian National Congress,Male,Inter/ Higher Secondary,Educated at a Private Institute.,42,0,0,64,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Lal Ji Tandon,Elected,18-May-09,In office,Uttar Pradesh,Lucknow,Bharatiya Janata Party,Male,Graduate,,75,4,0,40,67%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Lal Krishna Advani,Elected,18-May-09,In office,Gujarat,Gandhinagar,Bharatiya Janata Party,Male,Graduate,"Law Graduate; Educated at St. Patricks High School, Karachi, D.G. National College, Hyderabad, Sindh (now in Pakistan) and Government Law College, Mumbai (Maharashtra) ",82,15,0,0,100%,"This MP was the Leader of Opposition till the end of Winter Session, 2009 and hence, did not sign the attendance register. Attendance is thus available only from 22nd February, 2010. (All data updated till 4th Aug 2010)",9.1,0.2,69,79%,7.3,0,85,80%,
Lalit Mohan Suklabaidya,Elected,18-May-09,In office,Assam,Karimganj,Indian National Congress,Male,Post Graduate,"M.A. (Economics); Educated at Karimganj College, Karimganj and Gauhati University (Assam) ",67,6,0,11,96%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Lalu Prasad,Elected,18-May-09,In office,Bihar,Saran,Rashtriya Janata Dal,Male,Graduate,"B.A., LL.B.; Educated at Patna University, Patna (Bihar) ",62,34,0,0,78%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Lalubhai Babubhai Patel,Elected,18-May-09,In office,Daman and Diu,Daman and Diu,Bharatiya Janata Party,Male,Matric,"Shree Somnath Kolvani Mandal High School, Dabhol, Daman",54,2,0,0,66%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2,0,0,66%,
Laxman Tudu,Elected,18-May-09,In office,Orissa,Mayurbhanj,Biju Janata Dal,Male,Graduate,"Educated at M.P.C. College, Baripada (Utkal University), Ravenshaw College, Cuttak, Chandua Govt. High School, Mayurbhanj and Sainik School, Bhubaneswar, Orissa.",45,2,0,2,59%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
M. Anjan Kumar Yadav,Elected,18-May-09,In office,Andhra Pradesh,Secunderabad,Indian National Congress,Male,Graduate,"B.A; Educated at Dharmavanth College, Hyderabad, Andhra Pradesh",49,0,0,149,63%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
M. B. Rajesh,Elected,18-May-09,In office,Kerala,Palakkad,Communist Party of India (Marxist),Male,Post Graduate,"M.A. (Economics), LL.B.; Educated at NSS College Ottappalam, University of Calicut and Kerala Law Academy Law College Trivandrum, University of Kerala",39,32,0,138,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
M. I. Shanavas,Elected,18-May-09,In office,Kerala,Wayanad,Indian National Congress,Male,Post Graduate,"M.A. (English), LL.B; Educated at Farook College, Kozhikkode and Law College, Ernakulam.",58,8,0,110,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
M. Jagannath,Elected,18-May-09,In office,Andhra Pradesh,Nagarkurnool,Indian National Congress,Male,Post Graduate,"M.B.B.S., D.L.O., M.S. (E.N.T.); Educated at Osmania Medical College, Hyderabad, Andhra Pradesh",59,19,0,99,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
M. K. Alagiri,Elected,18-May-09,In office,Tamil Nadu,Madurai,Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Presidency College, Chennai, Tamil Nadu",59,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
M. K. Raghavan,Elected,18-May-09,In office,Kerala,Kozhikode,Indian National Congress,Male,Graduate,B.A. History,58,5,0,124,74%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
M. Krishnaswamy,Elected,18-May-09,In office,Tamil Nadu,Arani,Indian National Congress,Male,Graduate,"B.A., B.L.; Educated at Law College, Madras, Tamil Nadu",70,6,0,7,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
M. Veerappa Moily,Elected,18-May-09,In office,Karnataka,Chikkballapur,Indian National Congress,Male,Graduate,"B.A., B.L.; Educated at Government Law College, Bangalore",70,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
M. Vijaya Shanthi,Elected,18-May-09,In office,Andhra Pradesh,Medak,Telangana Rashtra Samithi,Female,Matric,S.S.C.,44,0,0,0,11%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Madan Lal Sharma,Elected,18-May-09,In office,Jammu and Kashmir,Jammu,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Govt. Higher Secondary School, Pallanwalla; Jammu & Kashmir",58,5,0,67,91%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.2,0,40,87%,
Madhu Goud Yaskhi,Elected,18-May-09,In office,Andhra Pradesh,Nizamabad,Indian National Congress,Male,Post Graduate,"B.A., LL.B., LL.M.; Educated at Nizam College, Osmania University; Campus Law Centre, University of Delhi and P.G. College of Law, Osmania University",49,10,0,244,93%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Madhu Kora,Elected,18-May-09,In office,Jharkhand,Singhbhum,Independent,Male,Graduate,"Educated at Ignou, Bhubneshwar, Orrisa",39,1,0,9,30%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.6,0.3,78,59%,
Madhusudan Yadav,Elected,18-May-09,In office,Chhattisgarh,Rajnandgaon,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary; Educated at Higher Secondary School, Rajnandgaon, Chattisgarh",39,2,0,3,37%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,20,64%,
Magunta Srinivasulu Reddy,Elected,18-May-09,In office,Andhra Pradesh,Ongole,Indian National Congress,Male,Graduate,"B.Com; Educated at V.R. College, Nellore, Andhra Pradesh",56,0,0,249,63%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Mahabal Mishra,Elected,18-May-09,In office,Delhi,West Delhi,Indian National Congress,Male,Inter/ Higher Secondary,Intermediate (Science); Educated at L.S. College Muzaffarpur,57,12,0,63,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,12.8,2.8,91,97%,
Mahabali Singh,Elected,18-May-09,In office,Bihar,Karakat,Janata Dal (United),Male,Under Matric,"High School, Bhagwanpur, Distt. Kaimur",55,6,0,3,96%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Mahadeo Singh Khandela,Elected,18-May-09,In office,Rajasthan,Sikar,Indian National Congress,Male,Post Graduate,"M.A. (Eco.); Educated at University of Rajasthan, Jaipur",66,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mahendra Kumar Roy,Elected,18-May-09,In office,West Bengal,Jalpaiguri,Communist Party of India (Marxist),Male,Graduate,"B.A., B.Ed.; Educated at A.C. College, Jalpaiguri, A.C. Training college, Jalpaiguri",54,9,0,39,91%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Mahendrasinh Pruthvisinh Chauhan,Elected,18-May-09,In office,Gujarat,Sabarkantha,Bharatiya Janata Party,Male,Graduate,"B.S.A.M., LL.B.; Educated at Akhadanand Ayurvedic Medical College, Jamnagar Ayurvedic University and Law College, Modasa, Gujarat University, Ahmedabad",56,23,0,132,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Mahesh Joshi,Elected,18-May-09,In office,Rajasthan,Jaipur,Indian National Congress,Male,Doctorate,"M.A., (P.G. Diploma in Journalism); Educated at University of Rajasthan",55,2,0,114,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Maheshwar Hazari,Elected,18-May-09,In office,Bihar,Samastipur,Janata Dal (United),Male,Graduate,"B.A.; Educated at V.R.V. College, Samastipur, Bihar",47,6,0,53,94%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Makhansingh Solanki,Elected,18-May-09,In office,Madhya Pradesh,Khargone,Bharatiya Janata Party,Male,Under Matric,,58,1,0,0,66%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
